prompt,temperature,dataset,ka_mean
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues in the document. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining if the text is left-wing or right-wing on the topics of economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining if the text is left-wing or right-wing on the topics of economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining if the text is left- or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining if the text is left- or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is either left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is either left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on certain issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on certain issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is either left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is either left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to assess. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to assess. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is either right or left-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is either right or left-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on the issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7301381331100877
"The text of the political party's manifesto is given to you to find out if it is left-wing or right-wing on the issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.9,manifestos,0.7245674221741165
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing when it comes to the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing when it comes to the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"The party manifesto is for a political party in the U.K. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"The party manifesto is for a political party in the U.K. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on the economy in the United Kingdom. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on the economy in the United Kingdom. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"The text is a party document for a political party. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"The text is a party document for a political party. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on economic issues in the document. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on economic issues in the document. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on economic issues, according to the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on economic issues, according to the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on monetary issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on monetary issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on the economic side. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on the economic side. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"Your job is to see if the text is left- or right-wing on economic issues, as provided by the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7835255015626216
"Your job is to see if the text is left- or right-wing on economic issues, as provided by the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.1,manifestos,0.7846907493106212
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question about economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question about economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you to ponder. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you to ponder. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party's manifesto is for the purpose of evaluating the economic issues and whether it is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party's manifesto is for the purpose of evaluating the economic issues and whether it is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party's manifesto is for the purpose of evaluating the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party's manifesto is for the purpose of evaluating the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing about economic issues? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing about economic issues? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left- or right-wing? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left- or right-wing? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you regarding the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you regarding the economy. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing on issues? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party in the United Kingdom has a question for you to ponder. Is it left-wing or right-wing on issues? Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text of the political party's manifesto is for the purpose of evaluating the economic issues and whether it is left or right wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6826117698750718
"The text of the political party's manifesto is for the purpose of evaluating the economic issues and whether it is left or right wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.3,manifestos,0.6824473536112141
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the United Kingdom. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the UK. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the UK. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the UK Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the UK Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on certain issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on certain issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on economic matters. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on economic matters. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7435213927379405
"The text is for a political party in the United Kingdom and you will be asked to find out if it is left- or right-wing on issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",3.5,manifestos,0.7425719545031979
