codingid,coderid,manifestoid,sentenceid,code,scale,party,year,source,sentence_text,sentence_context,uid
334314848,1.14e+07,Con 1987,10004801,2,Economic,Conservatives,1987,Crowd,"Like other sections of British industry, however, the City was held back by restrictive practices until they were swept away in last year's big bang.","It is a major source of funds for British companies. The financial services sector as a whole accounts for nearly 6 per cent of our national income, generates a net £7 billion per year to our balance of payments, and employs over one million people. LIKE OTHER SECTIONS OF BRITISH INDUSTRY, HOWEVER, THE CITY WAS HELD BACK BY RESTRICTIVE PRACTICES UNTIL THEY WERE SWEPT AWAY IN LAST YEAR'S BIG BANG. This has brought nearer the day when shares can be bought and sold over the counter in every high street. We have also given building societies greater freedom to make a wider range of financial services available to the average family.",UID18544
370524955,1.43e+07,LD 2005,1140001711,-2,Social,Liberal Democrats,2005,Crowd,"I am proud of what many children already achieve, but more can be done.","And I want to see adults, too, being given the opportunity to acquire new skills to meet the demands of ever-changing technologies and global competition. Parents are rightly ambitious for their children - I most certainly was for my own. I AM PROUD OF WHAT MANY CHILDREN ALREADY ACHIEVE, BUT MORE CAN BE DONE. Quite simply, we must be ambitious for every child. Education and Skills. No tuition fees, no top-up fees, fair grants - university affordable for every student.",UID18654
342180878,1.98e+07,LD 1987,20001911,-1,Social,Liberal Democrats,1987,Crowd,It would also limit the ever-increasing upward trend in sentencing.,"This will mean that any judge stepping outside the Board's recommendations would be asked to explain the reason and any special circumstances. This would maintain a judge's flexibility, while keeping sentencing broadly consistent. IT WOULD ALSO LIMIT THE EVER-INCREASING UPWARD TREND IN SENTENCING. A Royal Commission on the Presentation of Violence in the Media. We will establish a Royal Commission to report within a year on the public presentation of violence on TV and the reporting of crime in newspapers, to make recommendations on the possible link between these and violent crime on the streets.",UID19843
3741,Mik,Lab 1992,1090001611,-1,Economic,Labour,1992,Experts,We will halt the deterioration which has taken place in the pay and conditions of many public service workers - often through pay settlements which have been arbitrarily imposed upon them.,"These considerations will be an important influence on collective bargaining. In order to provide honest information about the state of the British economy, we will make the Central Statistical Office independent and free from political interference. WE WILL HALT THE DETERIORATION WHICH HAS TAKEN PLACE IN THE PAY AND CONDITIONS OF MANY PUBLIC SERVICE WORKERS - OFTEN THROUGH PAY SETTLEMENTS WHICH HAVE BEEN ARBITRARILY IMPOSED UPON THEM. We will seek fairer and more rational ways of determining public sector pay within clearly defined budget limits. We will cut unemployment. We are determined to make a swift reduction in unemployment and have explained in our National Recovery Programme just how this will be done.",UID274
341604373,2.14e+07,Con 1997,40003731,NA,None,Conservatives,1997,Crowd,We will introduce benefit cards across the country.,"Social Security fraud must be stamped out. We will intensify our current initiatives of inspections and checks, including more home visits, to crack down further on benefit cheats. WE WILL INTRODUCE BENEFIT CARDS ACROSS THE COUNTRY. We will establish a Benefit Fraud inspectorate to monitor local authorities' performance. We will also improve the sharing of information between government departments to catch more fraudulent claims.",UID1200
370518610,1.68e+07,Con 1992,1070011941,NA,None,Conservatives,1992,Crowd,"Working closely with the voluntary sector we will continue to provide help for those sleeping rough, particularly in the capital.","The Government is spending about £100 million tackling the problem of rough sleeping in our cities. As a result we have seen a sharp fall in the numbers who sleep rough on our streets. WORKING CLOSELY WITH THE VOLUNTARY SECTOR WE WILL CONTINUE TO PROVIDE HELP FOR THOSE SLEEPING ROUGH, PARTICULARLY IN THE CAPITAL. We will revolutionise the management of council houses and flats. Compulsory competitive tendering will oblige local authorities to bring in managers who demonstrate their ability to deliver the best services to tenants.",UID11021
370519352,1.52e+07,LD 1992,1080002051,1,Economic,Liberal Democrats,1992,Crowd,We will break up the monopoly providers of services such as British Telecom and British Gas.,"We will encourage greater competition in the banking sector. Break up monopolies. WE WILL BREAK UP THE MONOPOLY PROVIDERS OF SERVICES SUCH AS BRITISH TELECOM AND BRITISH GAS. We will permit access by private operators to the British Rail track network. We will liberalise the coal industry by transferring ownership of coal reserves to the Crown (in line with other minerals), and issuing licences to operate pits to other groups, as well as British Coal.",UID18035
334667603,2.06e+07,Lab 1987,30004391,NA,None,Labour,1987,Crowd,"We will set up a Department of Overseas Development and Co-operation, headed by a Cabinet Minister.","The War We Must Fight. The world is aware, as never before, of the horrors of famine and poverty in many countries. A Labour Britain will play its full part in defeating these scourges. WE WILL SET UP A DEPARTMENT OF OVERSEAS DEVELOPMENT AND CO-OPERATION, HEADED BY A CABINET MINISTER. We will double Britain's aid budget in order to achieve the United Nations' target of 0.7 per cent of national income within five years. We will restore funding for development education.",UID7294
341604479,2.08e+07,Lab 1987,30001161,-2,Economic,Labour,1987,Crowd,The huge capital outflow of £110 billion since 1979 is ruinous evidence of the Tories' lack of concern for the strength of the British economy.,"We have to halt the decline in manufacturing industry, not only to generate jobs and increase our world trade share but to create the wealth to finance the rescue and expansion of education, health, housing and the social services. New Strength for Industry. For eight years British industry has been left to drift and decline Our oil revenues have been wasted and the City has concentrated upon short-term movements of capital at the expense of British manufacturing industry. THE HUGE CAPITAL OUTFLOW OF £110 BILLION SINCE 1979 IS RUINOUS EVIDENCE OF THE TORIES' LACK OF CONCERN FOR THE STRENGTH OF THE BRITISH ECONOMY. Labour is committed to rebuilding our industrial base. Our country must make the best use of computers and information technology to develop the modern means of making a living as the oil runs down and the pressures of technical change and international competition intensify.",UID14453
342179421,2.14e+07,Con 1997,40004641,-1,Social,Conservatives,1997,Crowd,Those children need our help.,"Sometimes, though, schools are failing because the local education authority which runs them is failing. The authorities with the worst GCSE results and the worst results at Key Stage 2 (11 year olds) are run by Labour. THOSE CHILDREN NEED OUR HELP. We will allow for on independent inspection of education authorities and intervene directly to raise standards where education authorities are letting children down. Failing authorities will be required to set out their plans to raise standards, and work with education teams - directed by independent inspectors - to implement those plans.",UID5212
341604726,1.52e+07,Lab 1997,60010381,NA,None,Labour,1997,Crowd,Labour has traditionally been the party of internationalism.,"We will also work for the successful negotiation of a new protocol on climate change to be completed in Japan in 1997. Leadership, not isolation. There is a sharp division between those who believe the way to cope with global change is for nations to retreat into isolationism and protectionism, and those who believe in internationalism and engagement. LABOUR HAS TRADITIONALLY BEEN THE PARTY OF INTERNATIONALISM. Britain cannot be strong at home if it is weak abroad. The tragedy of the Conservative years has been the squandering of Britain's assets and the loss of Britain's influence.",UID8466
342179740,2.00e+07,LD 1997,50001231,NA,None,Liberal Democrats,1997,Crowd,This would be deductible against the cost of providing accredited training or making contributions to the Individual Learning Account.,"Promote training in the workplace. To support companies that invest in education and training, and to encourage others to do so, we will introduce a 2 per cent remissible levy on company payrolls. THIS WOULD BE DEDUCTIBLE AGAINST THE COST OF PROVIDING ACCREDITED TRAINING OR MAKING CONTRIBUTIONS TO THE INDIVIDUAL LEARNING ACCOUNT. Small businesses will be exempt. We will give Training and Enterprise Councils the leading role in forging local partnerships to meet youth training and employment needs.",UID928
215964620,946983,Con 1987,10004211,0,Economic,Conservatives,1987,Crowd,Everyone who has been unemployed for more than one year has already been given an interview.,"The Third Guarantee. In addition to these major programmes we have taken one further important step. Restart is a programme we have set up for interviewing and counselling the long-term unemployed to help them into a job or training. EVERYONE WHO HAS BEEN UNEMPLOYED FOR MORE THAN ONE YEAR HAS ALREADY BEEN GIVEN AN INTERVIEW. We will guarantee to provide the Restart service in the future at six-monthly intervals, to all those who have been unemployed for more than six months. Over the next five years we will aim, through the Restart interviews, to offer everyone who is under 50, and who has been unemployed for more than two years, a place in the Job Training Scheme or in the new Community Programme, in a JobClub or in the Enterprise Allowance Scheme.",UID663
24750,Iulia,Lab 1997,60009241,NA,None,Labour,1997,Experts,Northern Ireland. Labour's approach to the peace process has been bipartisan.,"The system for dealing with asylum seekers is expensive and slow - there are many undecided cases dating back beyond 1993. We will ensure swift and fair decisions on whether someone can stay or go, control unscrupulous immigration advisors and crack down on the fraudulent use of birth certificates. NORTHERN IRELAND. LABOUR'S APPROACH TO THE PEACE PROCESS HAS BEEN BIPARTISAN. We have supported the recent agreements between the two governments - the Anglo-Irish Agreement, the Downing Street Declaration and the Framework Document. The government has tabled proposals which include a new devolved legislative body, as well as cross-border co-operation and continued dialogue between the two governments.",UID13091
370523521,1.10e+07,Lab 2001,1120009031,1,Economic,Labour,2001,Crowd,"Creative entrepreneurs need seed funding, cheap accommodation near other similar companies, and advice on how to develop their talent into a business.","Creative industries. The creative industries are a vital engine of our economy, providing jobs for over one million people. The National Endowment for Science, Technology and the Arts (NESTA) has been set up to back our most talented young people. CREATIVE ENTREPRENEURS NEED SEED FUNDING, CHEAP ACCOMMODATION NEAR OTHER SIMILAR COMPANIES, AND ADVICE ON HOW TO DEVELOP THEIR TALENT INTO A BUSINESS. To meet those needs, we now plan to provide start-up advice, services and funding for new businesses. Venture capital will be available through RDAs, and a creative industries champion will be appointed in every Business Link.",UID745
50227,Alex,Con 2010,1160001611,NA,None,Conservatives,2010,Experts,"We have been honest about the scale of the problem, and the actions we will need to take to deal with it.","The independent Bank of England will continue to target 2 per cent CPI inflation, and will use its new role in prudential supervision to preserve financial stability. After a decade of mismanagement, the UK entered the recession in poor shape, with the second biggest budget deficit in the developed world. WE HAVE BEEN HONEST ABOUT THE SCALE OF THE PROBLEM, AND THE ACTIONS WE WILL NEED TO TAKE TO DEAL WITH IT. This will not be easy, but we can overcome our problems if we all pull together. The absence of a credible plan to deal with our record budget deficit, the largest of any major economy, is creating uncertainty over Britain's credit rating and interest rates.",UID17114
370518647,1.82e+07,Con 1992,1070012311,2,Economic,Conservatives,1992,Crowd,We believe that franchising provides the best way of achieving that.,"We will give them that chance. Our plans for the railways are designed to bring better services for all passengers as rapidly as possible. WE BELIEVE THAT FRANCHISING PROVIDES THE BEST WAY OF ACHIEVING THAT. Long term, as performance improves and services become more commercially attractive as a result of bringing in private sector disciplines, it will make sense to consider whether some services can be sold outright. In the next Parliament: By franchising, we will give the private sector the fullest opportunity to operate existing passenger railway services.",UID5705
19247,Pablo,Con 1992,1070016311,1,Economic,Conservatives,1992,Experts,The massive bureaucracies and layers of local government have few supporters in Scotland.,"We have formed Scottish Trade International to help our exporters, as Locate in Scotland does for inward investors. To assist business further, we will complete the harmonisation of business rates in Scotland with those in the rest of the country. THE MASSIVE BUREAUCRACIES AND LAYERS OF LOCAL GOVERNMENT HAVE FEW SUPPORTERS IN SCOTLAND. We will continue to press local authorities to provide the value for money and the quality of services that people expect. We will press ahead with the reform of the current burdensome system of local government by introducing single tier councils throughout Scotland.",UID19351
370528473,1.57e+07,LD 2010,1170004421,1,Social,Liberal Democrats,2010,Crowd,"Incorporate the UN Convention on the Rights of the Child into UK law, ending the detention of children for immigration purposes.","Liberal Democrats will: Maintain the commitment to end child poverty in the UK by 2020. INCORPORATE THE UN CONVENTION ON THE RIGHTS OF THE CHILD INTO UK LAW, ENDING THE DETENTION OF CHILDREN FOR IMMIGRATION PURPOSES. Enhance child protection. We will enforce the publication of an anonymised version of Serious Case Reviews to ensure that lessons are learned.",UID7462
215965217,5112203,Lab 1997,60005561,1,Economic,Labour,1997,Crowd,"We will audit the resources available, take proper ministerial responsibility for the service, and seek to ensure that prison regimes are constructive and require inmates to face up to their offending behaviour.","The attorney general's power to appeal unduly lenient sentences will be extended. The prison service now faces serious financial problems. WE WILL AUDIT THE RESOURCES AVAILABLE, TAKE PROPER MINISTERIAL RESPONSIBILITY FOR THE SERVICE, AND SEEK TO ENSURE THAT PRISON REGIMES ARE CONSTRUCTIVE AND REQUIRE INMATES TO FACE UP TO THEIR OFFENDING BEHAVIOUR. Disorder. The Conservatives have forgotten the 'order' part of 'law and order'. We will tackle the unacceptable level of anti-social behaviour and crime on our streets.",UID547
370523887,1.93e+07,Lab 2001,1120012691,NA,None,Labour,2001,Crowd,Our ambition is to mobilise every neighbourhood against drugs.,"The Criminal Assets Recovery Agency will target their ill-gotten gains. We will follow the money trail, through bureaux de change to offshore accounts, to convict them, and remove their money and passports. OUR AMBITION IS TO MOBILISE EVERY NEIGHBOURHOOD AGAINST DRUGS. We will therefore ensure that crime-fighting partnerships, covering every locality, get over £200 million over the next three years to fight crime and drugs. A modern criminal justice system. The UK's legal traditions are precious.",UID5017
56863,Livio,Con 2010,1160006421,NA,None,Conservatives,2010,Experts,We will reform the National Curriculum so that it is more challenging and based on evidence about what knowledge can be mastered by children at different ages.,"To make this happen, we will promote the teaching of systematic synthetic phonics and ensure that teachers are properly trained to teach using this method. To provide parents with the reassurance they need that their child is making progress, we will establish a simple reading test at the age of six. WE WILL REFORM THE NATIONAL CURRICULUM SO THAT IT IS MORE CHALLENGING AND BASED ON EVIDENCE ABOUT WHAT KNOWLEDGE CAN BE MASTERED BY CHILDREN AT DIFFERENT AGES. We will ensure that the primary curriculum is organised around subjects like Maths, Science and History. We will encourage setting so those who are struggling get extra help and the most able are stretched.",UID1395
334665834,2.06e+07,Lab 1987,30003521,NA,None,Labour,1987,Crowd,"In consultation with the TUC, we will establish a new independent tribunal, presided over by a legally-qualified person.","Provide a statutory framework of measures to underpin the participative rights of union members, for example by laying down general principles for inclusion in union rule books. These will be based on a right for union members to have a secret ballot on decisions relating to strikes, and for the method of election of union executives to be based on a system of secret ballots. IN CONSULTATION WITH THE TUC, WE WILL ESTABLISH A NEW INDEPENDENT TRIBUNAL, PRESIDED OVER BY A LEGALLY-QUALIFIED PERSON. This will have the duty of acting on complaints by union members if they consider that these statutory principles have been breached. Equality for Ethnic Minorities. All the people of this country - whatever their race, colour or religion - must enjoy the full rights of citizenship.",UID5504
28148,Mik,LD 2005,1140006771,0,Economic,Liberal Democrats,2005,Experts,"We will encourage more cities and towns where traffic congestion is a problem to extend congestion charging, linked to up-front investment in better public transport to give millions real alternatives to the car and to reduce the need to drive.","We will start by reforming the Vehicle Excise Duty system ('road tax') to cut tax altogether on cars that pollute least, funded by increasing it on those that pollute more. Congestion charging in London (first proposed by the Liberal Democrats) has cut pollution, cut traffic jams and paid for new investment in buses. WE WILL ENCOURAGE MORE CITIES AND TOWNS WHERE TRAFFIC CONGESTION IS A PROBLEM TO EXTEND CONGESTION CHARGING, LINKED TO UP-FRONT INVESTMENT IN BETTER PUBLIC TRANSPORT TO GIVE MILLIONS REAL ALTERNATIVES TO THE CAR AND TO REDUCE THE NEED TO DRIVE. In the longer term, as technology allows, we will scrap petrol duties and VED altogether, replacing the revenue with a national road user charging system based on location, congestion and pollution (including the level of pollution of the particular vehicle). As a result, pollution and congestion will be better targeted, with no need for the present system of heavy taxes on every journey.",UID16879
203965756,3307853,Lab 1987,30001351,0,Economic,Labour,1987,Crowd,British industry now carries out less than half of the training of our main competitors.,"Bring in a stronger regulatory framework to ensure honest practice in the City of London and introduce new safeguards on mergers, takeovers and monopolies to protect our national industrial, technological and research and development interests. Plan for Training. For modern, wealth-creating industry we need a well-trained workforce. BRITISH INDUSTRY NOW CARRIES OUT LESS THAN HALF OF THE TRAINING OF OUR MAIN COMPETITORS. Labour will therefore establish a national training programme to bring about a major advance in the spread and standard of skills. For young people we will establish an integrated, high quality Foundation Programme that will guarantee for all 16 year olds at least two years of education, training and work experience according to their needs.",UID18722
58743,Livio,LD 2010,1170005301,NA,None,Liberal Democrats,2010,Experts,"Engage with major emitters and deepen diplomatic co-operation between the EU and emerging economies and developing countries, provide enhanced financial support for low-carbon solutions and lead international efforts to promote the transfer of technologies that will help to tackle climate change.","and expand investment in energy technology innovation, within Europe and internationally. Boost investment in clean energy by reforming the EU emissions trading scheme - bringing in a tighter cap on emissions, auctioning as many allowances as possible, and encouraging other European countries to increase the use of reserve prices in allowance auctions. ENGAGE WITH MAJOR EMITTERS AND DEEPEN DIPLOMATIC CO-OPERATION BETWEEN THE EU AND EMERGING ECONOMIES AND DEVELOPING COUNTRIES, PROVIDE ENHANCED FINANCIAL SUPPORT FOR LOW-CARBON SOLUTIONS AND LEAD INTERNATIONAL EFFORTS TO PROMOTE THE TRANSFER OF TECHNOLOGIES THAT WILL HELP TO TACKLE CLIMATE CHANGE. Work for the adoption of 'quick win' measures that could be initiated within the next few years such as reducing the use of hydrofluorocarbons (HFCs). At the UN level, we will support the provision of UN Adaptation Funds for developing countries, financed from international emissions markets, such as a cap-and-trade system for international emissions from aviation and shipping.",UID3254
44240,Mik,Con 2010,1160011971,NA,None,Conservatives,2010,Experts,"We will introduce a United Kingdom Sovereignty Bill to make it clear that ultimate authority stays in this country, in our Parliament.","Our amendment to the 1972 Act will prevent any future government from doing so without a referendum. Unlike other European countries, the UK does not have a written constitution. WE WILL INTRODUCE A UNITED KINGDOM SOVEREIGNTY BILL TO MAKE IT CLEAR THAT ULTIMATE AUTHORITY STAYS IN THIS COUNTRY, IN OUR PARLIAMENT. The Lisbon Treaty contains a number of so-called 'ratchet clauses', which allow the powers of the EU to expand in the future without a new Treaty. We do not believe that any of these 'ratchet clauses' should be used to hand over more powers from Britain to the EU.",UID10027
370517193,9270508,LD 1987,20001251,-1,Social,Liberal Democrats,1987,Crowd,"For, without getting the structure of our democracy right, we will get nothing right.","Yet, since then, our democracy has stood still despite the tremendous changes in the economy and society. The Alliance believes that it is time for a new era of reform. FOR, WITHOUT GETTING THE STRUCTURE OF OUR DEMOCRACY RIGHT, WE WILL GET NOTHING RIGHT. The Alliance, if empowered by the British people, will:  Replace the undemocratic 'first past the post' electoral system with proportional representation based on a single transferable vote for all Westminster and local authority elections. Introduce PR for elections to the European Parliament.",UID8662
370523866,1.95e+07,Lab 2001,1120012481,NA,None,Labour,2001,Crowd,Labour supports fines for anti-social behaviour and new powers to tackle unruly behaviour and kerb crawlers.,"We will build on our youth justice reforms to improve the standard of custodial accommodation and offending programmes for 18- to 20-year-old offenders. Crime in the community. Broken windows, graffiti and litter all send a signal about lawlessness. LABOUR SUPPORTS FINES FOR ANTI-SOCIAL BEHAVIOUR AND NEW POWERS TO TACKLE UNRULY BEHAVIOUR AND KERB CRAWLERS. Every local authority should have an anti-social behaviour unit. We will tackle alcohol-related disorder, with an overhaul of licensing laws, greater flexibility over opening times, and tougher controls on rogue landlords.",UID9982
34854,Ken,LD 1987,20002331,-1,Social,Liberal Democrats,1987,Experts,Police cautions and intermediate treatment should be more widely used.,"Detention centres, already under-used by the Courts, should be abolished, and the accommodation released to be used for remand centres. Alternatives to Prison. Every effort should be made to ensure that fine defaulters, elderly shoplifters and drunks are not sent to prison. POLICE CAUTIONS AND INTERMEDIATE TREATMENT SHOULD BE MORE WIDELY USED. Where punishment is appropriate, it should normally be community service rather than prison but many of these offenders are more appropriately dealt with by rehabilitation or medical treatment.",UID5854
334314089,2.13e+07,LD 1997,50001971,1,Economic,Liberal Democrats,1997,Crowd,"We will promote profit-sharing, mutual structures and employee share-ownership schemes.","Build new partnerships at work. We will give employees new rights to consultation and participation in decisions and give companies and their employees access to advice on the forms of partnership which best suit them. WE WILL PROMOTE PROFIT-SHARING, MUTUAL STRUCTURES AND EMPLOYEE SHARE-OWNERSHIP SCHEMES. We will extend the benefits of the Social Chapter of the Maastricht Treaty to all UK employees, while resisting the adoption of new rules that unnecessarily harm job opportunities. Encourage a culture of long-term business investment.",UID4848
30594,Iulia,Lab 1992,1090002591,-2,Economic,Labour,1992,Experts,"Within our overall budget, we will tackle the shortage of intensive care beds with a special programme providing an additional £25 million to expand this life-saving service.","We will invest in the modernisation of our hospitals and tackle the backlog of repairs and maintenance. We will also launch a new programme to invest £60 million in the modernisation of Britain's cancer services, using the resources we will save by scrapping the Conservatives' tax handout on private medical insurance. WITHIN OUR OVERALL BUDGET, WE WILL TACKLE THE SHORTAGE OF INTENSIVE CARE BEDS WITH A SPECIAL PROGRAMME PROVIDING AN ADDITIONAL £25 MILLION TO EXPAND THIS LIFE-SAVING SERVICE. A healthy Britain. Labour will launch a National Health Initiative to promote physical and mental health from birth to old age. This initiative will be led by the Department of Health and Community Care and by a new Cabinet committee that will cut through departmental boundaries.",UID1811
204711335,1.06e+07,LD 1987,20004121,NA,None,Liberal Democrats,1987,Crowd,to make care in the community a reality.,"this will have an initial life of five years, with a budget which will total £250 million in the first three years. This will be in addition to money spent on creating new jobs caring in the community TO MAKE CARE IN THE COMMUNITY A REALITY. We are not prepared to see patients turned out of the old institutional hospitals without adequate facilities to care for them in the community. We want to support carers who look after elderly and handicapped people in their own families and their own homes.",UID19047
334314865,1.11e+07,LD 1987,20004651,-2,Economic,Liberal Democrats,1987,Crowd,"We will introduce a Death Grant of £400, recoverable from the estate of the deceased, specifically designed to help pensioners with a small amount of savings feel confident that most of their, or their spouse's, funeral costs will be covered by the Grant","For poorer pensioners we will introduce an additional benefit of £3.70 a week for single people and £5.75 for couples. This will increase the incomes of poorer pensioners in total by £6 per week (single person) and £9.40 per week (couple). WE WILL INTRODUCE A DEATH GRANT OF £400, RECOVERABLE FROM THE ESTATE OF THE DECEASED, SPECIFICALLY DESIGNED TO HELP PENSIONERS WITH A SMALL AMOUNT OF SAVINGS FEEL CONFIDENT THAT MOST OF THEIR, OR THEIR SPOUSE'S, FUNERAL COSTS WILL BE COVERED BY THE GRANT We will require standing charges for gas, electricity and telephones to be abolished for everyone The £10 Christmas bonus has became hopelessly inadequate to meet the extra spending pensioners and widows face at Christmas.",UID11431
334314071,2.13e+07,Con 1997,40008011,1,Social,Conservatives,1997,Crowd,Strengthening the Fight Against City Crime. Crime that takes place through manipulation of financial accounts and markets is as serious as crime on the street.,We will also take action to allow a judge to stop a defendant from personally questioning the victim in rape cases and other cases where the victim is particularly vulnerable. Conservatives are on the side of the victims not the criminal. STRENGTHENING THE FIGHT AGAINST CITY CRIME. CRIME THAT TAKES PLACE THROUGH MANIPULATION OF FINANCIAL ACCOUNTS AND MARKETS IS AS SERIOUS AS CRIME ON THE STREET. The City's unchallenged position as Europe's most dynamic and successful financial centre owes a great deal to its reputation for honesty and fair dealing. We will help ensure that this reputation is maintained.,UID8495
